client_id,latency_ms,memory_spike_mb
1,2646.439790725708,4.6953125
0,2505.905866622925,2.734375
3,2638.7338638305664,2.40625
4,2320.122480392456,3.29296875
2,2704.1683197021484,3.359375
1,2524.1611003875732,4.33203125
0,2191.2097930908203,1.9921875
4,2411.086320877075,2.0546875
3,2548.3317375183105,2.125
2,2216.1545753479004,2.40234375
1,2801.863670349121,4.69921875
0,2620.6257343292236,4.6015625
3,2450.0041007995605,2.73828125
2,2520.4572677612305,3.8359375
4,2893.8958644866943,4.12109375
1,2379.8773288726807,3.3515625
0,2942.6119327545166,4.328125
2,2390.9060955047607,3.36328125
4,2214.026689529419,3.2890625
3,2574.1138458251953,2.3984375
1,2004.9068927764893,1.9609375
0,1765.0806903839111,2.875
3,1827.5485038757324,2.36328125
4,1894.5341110229492,2.37890625
2,1942.5435066223145,2.453125
1,1759.117603302002,3.046875
0,1854.3837070465088,2.78515625
0,591.780424118042,9.33203125
3,1912.7171039581299,0
4,1888.5178565979004,2.6796875
2,1902.4806022644043,2.82421875
1,1879.6818256378174,2.3515625
3,1422.3904609680176,1.85546875
0,2922.5893020629883,0.55859375
4,2851.238250732422,2.39453125
2,2859.3456745147705,2.40234375
1,2777.5912284851074,3.07421875
3,2760.434865951538,0.46875
0,2463.418483734131,2.51953125
4,2494.678258895874,0
2,2507.248878479004,1.34765625
1,2491.877317428589,2.515625
3,2181.385040283203,2.68359375
0,2109.452247619629,2.7578125
4,2214.5848274230957,4.12109375
2,2175.1039028167725,4.796875
1,2197.2060203552246,3.19921875
3,2003.6673545837402,3.27734375
0,2094.280004501343,3.1328125
4,2010.4329586029053,3.2890625
2,2086.4157676696777,4.7421875
1,2093.888998031616,0
3,1804.572343826294,0
4,1244.039535522461,0
2,1186.9029998779297,0
4,1827.6607990264893,2.82421875
3,1864.3293380737305,3.23828125
0,1831.4933776855469,3.23046875
2,1837.0368480682373,2.671875
1,1870.0201511383057,3.2578125
4,2201.8654346466064,2.875
2,2174.9942302703857,0
1,2176.8529415130615,0.9296875
3,2233.773708343506,0
0,2270.028591156006,0
2,1922.9912757873535,2.8671875
4,1990.107774734497,2.875
1,2042.6971912384033,3.26171875
3,2087.1994495391846,0
0,2059.260606765747,2.6875
2,1955.5840492248535,3.1875
4,1994.4753646850586,2.8125
1,1933.028221130371,2.7578125
3,1883.5194110870361,3.27734375
0,1962.5110626220703,3.29296875
2,2092.7324295043945,2.32421875
4,2157.146453857422,2.46484375
3,2100.4536151885986,2.38671875
1,2127.675771713257,2.39453125
0,2007.5695514678955,2.37890625
2,2205.305814743042,2.7890625
